03011949,Waterloo Hawks,95,Rochester Royals,120
03011949,Fort Wayne Pistons,76,Washington Capitols,93
03011949,Baltimore Bullets,61,Denver Nuggets,68
03011949,New York Knicks,77,Fort Wayne Pistons,72
03011949,Chicago Stags,96,Minneapolis Lakers,82
03011949,Anderson Packers,111,Sheboygan Red Skins,91
03011949,Philadelphia Warriors,67,St. Louis Bombers,80
03011949,Waterloo Hawks,62,Syracuse Nationals,80
03011949,Indianapolis Olympians,88,Tri-Cities Blackhawks,104
03011949,Waterloo Hawks,87,Anderson Packers,101
03011949,Philadelphia Warriors,57,Denver Nuggets,56
03011949,Tri-Cities Blackhawks,76,Indianapolis Olympians,92
03011949,Syracuse Nationals,87,Boston Celtics,71
03011949,Baltimore Bullets,50,Chicago Stags,57
03011949,New York Knicks,92,Minneapolis Lakers,102
03011949,St. Louis Bombers,89,Tri-Cities Blackhawks,82
03011949,Fort Wayne Pistons,71,Waterloo Hawks,95
03011949,Rochester Royals,86,Washington Capitols,84
03011949,Tri-Cities Blackhawks,72,Anderson Packers,81
03011949,Rochester Royals,64,Baltimore Bullets,70
03011949,Philadelphia Warriors,70,Fort Wayne Pistons,74
03011949,Minneapolis Lakers,68,Indianapolis Olympians,86
03011949,Chicago Stags,80,Sheboygan Red Skins,78
03011949,New York Knicks,85,St. Louis Bombers,68
03011949,Waterloo Hawks,63,Denver Nuggets,74
03011949,Rochester Royals,82,Philadelphia Warriors,79
03011949,Minneapolis Lakers,91,Chicago Stags,80
03011949,Baltimore Bullets,55,New York Knicks,85
03011949,Indianapolis Olympians,77,Rochester Royals,99
03011949,St. Louis Bombers,75,Sheboygan Red Skins,72
03011949,Boston Celtics,82,Tri-Cities Blackhawks,87
03011949,Philadelphia Warriors,63,Washington Capitols,79
03011949,Waterloo Hawks,76,Denver Nuggets,86
03011949,Washington Capitols,68,Fort Wayne Pistons,72
03011949,Rochester Royals,80,Minneapolis Lakers,95
03011949,Boston Celtics,76,St. Louis Bombers,85
03011949,Indianapolis Olympians,61,Syracuse Nationals,67
03011949,Sheboygan Red Skins,81,Anderson Packers,88
03011949,Washington Capitols,55,Chicago Stags,75
03011949,Boston Celtics,82,Indianapolis Olympians,93
03011949,Chicago Stags,84,Baltimore Bullets,72
03011949,St. Louis Bombers,76,Denver Nuggets,72
03011949,Washington Capitols,76,Minneapolis Lakers,93
03011949,Syracuse Nationals,77,Tri-Cities Blackhawks,69
03011949,Sheboygan Red Skins,67,Waterloo Hawks,77
03011949,Indianapolis Olympians,72,Anderson Packers,69
03011949,New York Knicks,82,Baltimore Bullets,60
03011949,Philadelphia Warriors,87,Boston Celtics,91
03011949,Minneapolis Lakers,66,Fort Wayne Pistons,87
03011949,Syracuse Nationals,86,Sheboygan Red Skins,72
03011949,Denver Nuggets,75,Indianapolis Olympians,78
03011949,Chicago Stags,77,Philadelphia Warriors,80
03011949,St. Louis Bombers,66,Baltimore Bullets,69
03011949,Sheboygan Red Skins,78,Boston Celtics,83
03011949,Minneapolis Lakers,89,Denver Nuggets,76
03011949,Chicago Stags,91,New York Knicks,93
03011949,Syracuse Nationals,63,Rochester Royals,69
03011949,Anderson Packers,87,Waterloo Hawks,83
03011949,Fort Wayne Pistons,69,Washington Capitols,75
03011949,Indianapolis Olympians,74,Fort Wayne Pistons,90
03011949,Philadelphia Warriors,81,Minneapolis Lakers,90
03011949,Sheboygan Red Skins,72,Syracuse Nationals,89
03011949,Denver Nuggets,66,Tri-Cities Blackhawks,98
03011949,Fort Wayne Pistons,97,Anderson Packers,105
03011949,Philadelphia Warriors,65,Chicago Stags,75
03011949,Rochester Royals,81,Denver Nuggets,65
03011949,Tri-Cities Blackhawks,63,Indianapolis Olympians,84
03011949,Minneapolis Lakers,84,New York Knicks,94
03011949,Fort Wayne Pistons,83,Syracuse Nationals,96
03011949,Chicago Stags,68,Tri-Cities Blackhawks,73
03011949,Philadelphia Warriors,73,Waterloo Hawks,70
03011949,St. Louis Bombers,61,Washington Capitols,79
03011949,Syracuse Nationals,88,Anderson Packers,100
03011949,Minneapolis Lakers,68,Baltimore Bullets,87
03011949,St. Louis Bombers,81,Boston Celtics,83
03011949,Rochester Royals,66,Fort Wayne Pistons,69
03011949,Tri-Cities Blackhawks,74,Sheboygan Red Skins,89
03011949,Waterloo Hawks,77,Baltimore Bullets,75
03011949,Rochester Royals,71,Chicago Stags,80
03011949,Indianapolis Olympians,81,Denver Nuggets,79
03011949,St. Louis Bombers,68,Philadelphia Warriors,54
03011949,St. Louis Bombers,76,New York Knicks,81
03011949,Waterloo Hawks,72,Philadelphia Warriors,81
03011949,Chicago Stags,63,Rochester Royals,85
03011949,Anderson Packers,91,Sheboygan Red Skins,110
03011949,Baltimore Bullets,89,Washington Capitols,72
03011949,Indianapolis Olympians,83,Denver Nuggets,79
03011949,Baltimore Bullets,95,Fort Wayne Pistons,106
03011949,Boston Celtics,72,Minneapolis Lakers,77
03011949,Chicago Stags,73,Syracuse Nationals,86
03011949,Anderson Packers,78,Tri-Cities Blackhawks,69
03011949,New York Knicks,86,Anderson Packers,83
03011949,New York Knicks,77,Chicago Stags,79
03011949,Baltimore Bullets,88,Indianapolis Olympians,79
03011949,Minneapolis Lakers,62,Rochester Royals,87
03011949,Syracuse Nationals,95,Waterloo Hawks,70
03011949,Waterloo Hawks,70,Chicago Stags,78
03011949,Baltimore Bullets,60,Philadelphia Warriors,70
03011949,New York Knicks,52,St. Louis Bombers,75
03011949,Syracuse Nationals,96,Tri-Cities Blackhawks,84
03011949,Minneapolis Lakers,75,Washington Capitols,61
03011949,Waterloo Hawks,84,Anderson Packers,101
03011949,Washington Capitols,82,Baltimore Bullets,86
03011949,Minneapolis Lakers,69,Boston Celtics,87
03011949,St. Louis Bombers,75,Fort Wayne Pistons,87
03011949,Chicago Stags,92,Indianapolis Olympians,104
03011949,Syracuse Nationals,83,Sheboygan Red Skins,74
03011949,New York Knicks,83,Denver Nuggets,72
03011949,Boston Celtics,73,Washington Capitols,86
03011949,Philadelphia Warriors,64,Baltimore Bullets,63
03011949,Sheboygan Red Skins,76,Denver Nuggets,72
03011949,Fort Wayne Pistons,58,Minneapolis Lakers,72
03011949,Boston Celtics,79,Rochester Royals,88
03011949,Washington Capitols,81,St. Louis Bombers,68
03011949,Anderson Packers,88,Syracuse Nationals,94
03011949,Indianapolis Olympians,93,Waterloo Hawks,97
03011949,Washington Capitols,73,Anderson Packers,80
03011949,Boston Celtics,82,Baltimore Bullets,57
03011949,Chicago Stags,74,Fort Wayne Pistons,76
03011949,Rochester Royals,83,New York Knicks,80
